iteration= 0
(W, 2, 1, d, 25):sa=[2.499999999999999]
(W, 2, 1, d, 50):stay=[0.0]
(W, 2, 1, d, 75):stay=[0.0]
(W, 2, 1, d, 100):stay=[0.0]
(W, 2, 1, r, 0):X=[0]
(W, 2, 1, r, 25):sa=[2.5]
(W, 2, 1, r, 50):stay=[0.0]
(W, 2, 1, r, 75):stay=[0.0]
(W, 2, 1, r, 100):stay=[0.0]
(W, 2, 2, d, 0):X=[0]
(W, 2, 2, d, 25):sa=[2.499999999999999]
(W, 2, 2, d, 50):stay=[0.0]
(W, 2, 2, d, 75):stay=[0.0]
(W, 2, 2, d, 100):stay=[0.0]
(W, 2, 2, r, 0):X=[0]
(W, 2, 2, r, 25):sa=[2.5]
(W, 2, 2, r, 50):stay=[0.0]
(W, 2, 2, r, 75):stay=[0.0]
(W, 2, 2, r, 100):stay=[0.0]
(W, 2, 3, d, 0):X=[0]
(W, 2, 3, d, 25):sa=[2.499999999999999]
(W, 2, 3, d, 50):stay=[0.0]
(W, 2, 3, d, 75):stay=[0.0]
(W, 2, 3, d, 100):stay=[0.0]
(W, 2, 3, r, 0):X=[0]
(W, 2, 3, r, 25):sa=[2.5]
(W, 2, 3, r, 50):stay=[0.0]
(W, 2, 3, r, 75):stay=[0.0]
(W, 2, 3, r, 100):stay=[0.0]
iteration= 1
(C, 0, 0, d, 0):X=[0]
(C, 0, 0, d, 25):stay=[-3.9960000000000004]
(C, 0, 0, d, 50):stay=[-3.9960000000000004]
(C, 0, 0, d, 75):stay=[-3.9960000000000004]
(C, 0, 0, d, 100):stay=[-3.9960000000000004]
(C, 0, 0, r, 0):X=[0]
(C, 0, 0, r, 25):stay=[-29.990000000000002]
(C, 0, 0, r, 50):stay=[-29.990000000000002]
(C, 0, 0, r, 75):stay=[-29.990000000000002]
